in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
West,60%,Top,100cm,70%,Daylight_Control,73.04,25.81,101,6,50.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position0_Shade_Depth4_VT3_Lighting_Control1.png
South,30%,Right,100cm,70%,Daylight_Control,44.17,0,106.1,5.1,52.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
East,30%,Right,100cm,70%,Daylight_Control,49.36,9.89,99.8,5.6,46.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
North,30%,Right,100cm,70%,Daylight_Control,59.55,22.43,90.9,6.2,38.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
West,30%,Right,100cm,70%,Daylight_Control,52.51,14.46,101.7,5.8,48.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
South,40%,Right,100cm,70%,Daylight_Control,52.24,0,106.3,5.4,54,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
East,40%,Right,100cm,70%,Daylight_Control,57.32,12.53,98.6,6,46.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
North,40%,Right,100cm,70%,Daylight_Control,68.63,28.59,86.5,6.3,35.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
West,40%,Right,100cm,70%,Daylight_Control,61.18,21.92,101,6.2,49.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
South,50%,Right,100cm,70%,Daylight_Control,58.54,0,106.8,5.6,55.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
East,50%,Right,100cm,70%,Daylight_Control,63.92,14.84,97.9,6.5,46.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
North,50%,Right,100cm,70%,Daylight_Control,77.34,32.08,83.1,7,32.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
West,50%,Right,100cm,70%,Daylight_Control,68.06,27.2,100.4,6.7,49.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
South,60%,Right,100cm,70%,Daylight_Control,64.97,0,107.3,5.8,56.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
East,60%,Right,100cm,70%,Daylight_Control,71.04,16.33,97.3,6.9,46.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
North,60%,Right,100cm,70%,Daylight_Control,90.51,35.7,80.4,7.4,29.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
West,60%,Right,100cm,70%,Daylight_Control,76.05,30.28,100.6,7.2,49.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position1_Shade_Depth4_VT3_Lighting_Control1.png
South,30%,Left,100cm,70%,Daylight_Control,44.41,0,106.1,5.1,52.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth4_VT3_Lighting_Control1.png
East,30%,Left,100cm,70%,Daylight_Control,47.59,5.32,101.5,5.6,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth4_VT3_Lighting_Control1.png
North,30%,Left,100cm,70%,Daylight_Control,59.04,21.88,90.9,6.2,38.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth4_VT3_Lighting_Control1.png
West,30%,Left,100cm,70%,Daylight_Control,54.91,18.8,100.4,5.9,47.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth4_VT3_Lighting_Control1.png
South,40%,Left,100cm,70%,Daylight_Control,53.01,0,106.4,5.4,54,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth4_VT3_Lighting_Control1.png
